architect,image_type,building_name,file_title,file_url,local_file_path
Frank Lloyd Wright,interior,Interior of Frank Lloyd Wright's Pope-Leighy house,File:Interior of Frank Lloyd Wright's Pope-Leighy house.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Interior_of_Frank_Lloyd_Wright%27s_Pope-Leighy_house.jpg,Data/Frank_Lloyd_Wright/interior/Interior_of_Frank_Lloyd_Wright's_Pope-Leighy_house.jpg
Frank Lloyd Wright,interior,Interior - Living Area - Frank Lloyd Wright Chair,File:Interior - Living Area - Frank Lloyd Wright Chair.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Interior_-_Living_Area_-_Frank_Lloyd_Wright_Chair.jpg,Data/Frank_Lloyd_Wright/interior/Interior_-_Living_Area_-_Frank_Lloyd_Wright_Chair.jpg
Frank Lloyd Wright,interior,"Frank Lloyd Wright - V.C. Morris Gift Shop, SF - 12","File:Frank Lloyd Wright - V.C. Morris Gift Shop, SF - 12.jpg",https://upload.wikimedia.org/wikipedia/commons/9/99/Frank_Lloyd_Wright_-_V.C._Morris_Gift_Shop%2C_SF_-_12.jpg,"Data/Frank_Lloyd_Wright/interior/Frank_Lloyd_Wright_-_V.C._Morris_Gift_Shop,_SF_-_12.jpg"
Frank Lloyd Wright,interior,Frank Lloyd Wright Home Studio,File:Frank Lloyd Wright Home Studio.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Frank_Lloyd_Wright_Home_Studio.jpg,Data/Frank_Lloyd_Wright/interior/Frank_Lloyd_Wright_Home_Studio.jpg
Frank Lloyd Wright,interior,"Frank Lloyd Wright Studio- Playroom, interior- playroom, Oak Park, IL mhsdalad 250099","File:Frank Lloyd Wright Studio- Playroom, interior- playroom, Oak Park, IL mhsdalad 250099.jpg",https://upload.wikimedia.org/wikipedia/commons/8/8d/Frank_Lloyd_Wright_Studio-_Playroom%2C_interior-_playroom%2C_Oak_Park%2C_IL_mhsdalad_250099.jpg,"Data/Frank_Lloyd_Wright/interior/Frank_Lloyd_Wright_Studio-_Playroom,_interior-_playroom,_Oak_Park,_IL_mhsdalad_250099.jpg"
Frank Lloyd Wright,exterior,"Frank Lloyd Wright Home and Studio, Oak Park (6895278396)","File:Frank Lloyd Wright Home and Studio, Oak Park (6895278396).jpg",https://upload.wikimedia.org/wikipedia/commons/c/c0/Frank_Lloyd_Wright_Home_and_Studio%2C_Oak_Park_%286895278396%29.jpg,"Data/Frank_Lloyd_Wright/exterior/Frank_Lloyd_Wright_Home_and_Studio,_Oak_Park_(6895278396).jpg"
Frank Lloyd Wright,exterior,Robie House designed by Frank Lloyd Wright 1909,File:Robie House designed by Frank Lloyd Wright 1909.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Robie_House_designed_by_Frank_Lloyd_Wright_1909.jpg,Data/Frank_Lloyd_Wright/exterior/Robie_House_designed_by_Frank_Lloyd_Wright_1909.jpg
Frank Lloyd Wright,exterior,"Frank Lloyd Wright - V.C. Morris Gift Shop, SF - 1","File:Frank Lloyd Wright - V.C. Morris Gift Shop, SF - 1.jpg",https://upload.wikimedia.org/wikipedia/commons/8/8e/Frank_Lloyd_Wright_-_V.C._Morris_Gift_Shop%2C_SF_-_1.jpg,"Data/Frank_Lloyd_Wright/exterior/Frank_Lloyd_Wright_-_V.C._Morris_Gift_Shop,_SF_-_1.jpg"
Frank Lloyd Wright,exterior,Frank Lloyd Wright's Wingspread,File:Frank Lloyd Wright's Wingspread.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Frank_Lloyd_Wright%27s_Wingspread.jpg,Data/Frank_Lloyd_Wright/exterior/Frank_Lloyd_Wright's_Wingspread.jpg
Frank Lloyd Wright,exterior,Fallingwater - by Frank Lloyd Wright,File:Fallingwater - by Frank Lloyd Wright.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Fallingwater_-_by_Frank_Lloyd_Wright.jpg,Data/Frank_Lloyd_Wright/exterior/Fallingwater_-_by_Frank_Lloyd_Wright.jpg
